Location,Price (RM),Bathrooms,Car Parks,Type,Size,Furnishing,Bedrooms,Store,Size_Encoded
10,1600000,2,2,91,2400,1,3,0,1650
27,1730000,3,2,58,1690,0,3,1,1192
27,1500000,2,2,61,1346,0,3,1,886
27,2800000,4,0,24,1302,1,3,1,843
27,3280000,4,0,49,3200,1,4,1,2039
27,1500000,3,2,61,1400,1,3,1,938
27,5500000,8,0,29,2805,1,6,1,1856
27,1180000,3,2,57,1507,1,2,1,1034
27,2300000,3,0,12,1826,1,4,0,1291
27,1950000,3,0,12,2300,0,3,1,1599
43,2950000,4,2,58,2674,1,3,1,1797
9,490000,1,1,82,520,0,1,0,101
43,3090000,2,2,82,1572,1,2,0,1090
43,1230000,4,2,83,1378,0,3,1,916
35,350000,2,1,82,950,1,3,0,497
43,1230000,1,1,86,850,0,1,0,400
27,1250000,2,2,61,1303,1,2,1,844
27,1100000,3,2,61,1378,2,2,1,916
88,2800000,6,4,46,5628,1,4,1,2841
43,3600000,5,2,83,3897,1,3,1,2350
2,5900000,5,3,57,4000,4,4,1,2391
43,3900000,2,2,82,1636,1,2,0,1145
43,1300000,1,1,85,925,1,1,0,474
43,1240000,1,0,86,850,0,1,0,400
16,438000,2,1,38,1018,1,3,0,565
35,530000,2,1,83,900,1,3,1,449
74,590000,2,2,61,1196,1,3,0,741
43,1000000,1,1,57,751,1,1,0,304
43,1900000,2,1,58,915,1,2,1,464
43,2400000,2,1,82,1006,0,2,0,553
73,380000,2,2,57,950,2,3,1,497
43,1198000,1,1,83,764,0,1,1,315
43,1000000,1,1,60,657,1,1,0,213
10,12000000,6,4,45,11500,1,6,1,3609
43,1780000,1,1,82,728,0,1,0,282
55,5900000,8,0,46,12722,1,6,1,3664
43,2300000,1,1,82,1023,1,1,0,570
43,1000000,1,1,57,751,1,1,0,304
43,800000,3,1,83,1055,0,2,1,602
81,1340000,6,0,24,3216,2,4,1,2046
43,3600000,5,2,83,3897,1,3,1,2350
14,6000000,5,2,83,4157,1,4,1,2446
43,1250000,4,2,85,1378,0,3,1,916
43,2300000,2,1,82,1023,1,1,0,570
16,900000,3,3,58,1513,1,4,1,1040
54,1850000,4,2,61,1830,1,4,1,1294
43,2400000,2,1,82,1006,1,2,0,553
101,1613300,5,3,57,2336,1,3,1,1617
